,lead,member,min_mse,min_mse_time
0,1,5,235917.82893667876,533291
1,1,9,236029.86380299562,533291
2,1,8,235566.55625904223,533291
3,1,7,236638.17773053204,533291
4,1,4,234595.58514423674,533291
5,1,3,237228.2821604088,533291
6,1,2,236811.275978266,533291
7,1,6,234332.05273399554,533291
8,1,1,237204.07891323353,533291
9,1,10,237117.45575094072,533291
10,2,5,309908.99989837164,857003
11,2,9,307986.12676436006,857003
12,2,8,308280.9385872412,857003
13,2,7,304916.67635862157,857003
14,2,4,302694.9253157601,857003
15,2,3,305577.35701478826,857003
16,2,2,309832.9569309618,857003
17,2,6,306609.4166328955,857003
18,2,1,304385.01828912,857003
19,2,10,307793.2060434331,857003
20,3,5,264941.1266732352,559787
21,3,9,258364.2611847489,559787
22,3,8,254210.5978514979,559787
23,3,7,256930.7046352568,559787
24,3,4,249447.13939686932,559787
25,3,3,257885.79757184227,559787
26,3,2,256262.7699040327,559787
27,3,6,258466.5449914922,559787
28,3,1,256007.52052546103,559787
29,3,10,258012.45785053395,559787
30,4,5,175691.90611676412,708395
31,4,9,167410.9256857332,708395
32,4,8,175898.8027457343,708395
33,4,7,158713.80789285488,708395
34,4,4,162137.10920051695,708395
35,4,3,167037.1656343329,708395
36,4,2,154860.68561348083,708395
37,4,6,172686.90950775953,708395
38,4,1,169397.36204963966,708395
39,4,10,165877.26800392594,708395
40,5,5,285848.69377390546,578099
41,5,9,307665.88341306656,578099
42,5,8,282564.16020077496,578099
43,5,7,295280.9316511366,578099
44,5,4,312163.5772466831,578099
45,5,3,308956.3813993343,578099
46,5,2,293314.0226901584,578099
47,5,6,282127.41222933814,578099
48,5,1,292124.1328970773,578099
49,5,10,289589.6355327465,578099
50,6,5,162384.50324262993,753347
51,6,9,138923.51366816123,753347
52,6,8,167864.83269811558,753347
53,6,7,169528.7775677797,753347
54,6,4,160766.62372340448,753347
55,6,3,157397.27968013703,753347
56,6,2,176142.41391290736,753347
57,6,6,170566.97422254452,753347
58,6,1,149833.04764870135,753347
59,6,10,151589.1318386744,753347
60,7,5,185012.0676194529,753347
61,7,9,162569.66038165218,753347
62,7,8,176122.68577251132,753347
63,7,7,195525.36746159306,753347
