,lead,member,min_mse,min_mse_time
0,1,9,76398.60136832496,533291
1,1,5,76273.3612264715,533291
2,1,4,77448.70462104309,533291
3,1,8,75580.57800336026,533291
4,1,2,74660.40323923729,533291
5,1,1,75546.4456849544,533291
6,1,6,75896.91573409541,533291
7,1,7,77725.11514933483,533291
8,1,3,75811.43043694785,533291
9,1,10,76905.67617342151,533291
10,2,9,55458.46472569846,533315
11,2,5,56280.94951301767,533315
12,2,4,58018.90519977191,533315
13,2,8,58045.16860077425,533315
14,2,2,56880.08545506751,533315
15,2,1,57064.03568588517,533315
16,2,6,59639.13365744759,533315
17,2,7,56039.61612591528,533315
18,2,3,56146.15495302984,533315
19,2,10,57614.536814102634,533315
20,3,9,96325.94336054116,533339
21,3,5,95204.02979244028,533339
22,3,4,91721.95861735672,533339
23,3,8,96492.83576203739,533339
24,3,2,92769.11995571884,533339
25,3,1,92834.54311514826,533339
26,3,6,95413.0993738281,533339
27,3,7,90508.68750130969,533339
28,3,3,95266.52141567905,533339
29,3,10,94029.09742655185,533339
30,4,9,153588.5950378382,533363
31,4,5,156853.95517922234,533363
32,4,4,125240.0968329392,533363
33,4,8,152429.12083511308,533363
34,4,2,126982.51293371202,533363
35,4,1,135864.91908702816,533363
36,4,6,132959.760771521,533363
37,4,7,129208.19193464724,533363
38,4,3,147468.3647990196,533363
39,4,10,145824.28295302799,533363
40,5,9,103702.1086834297,848123
41,5,5,85045.76124098216,848123
42,5,4,92751.75080956801,848123
43,5,8,124686.83790752539,848123
44,5,2,88329.86981109672,848123
45,5,1,116013.64961390689,795659
46,5,6,126693.2665766425,848123
47,5,7,95946.21603031147,848123
48,5,3,113009.0888739333,848123
49,5,10,112555.3177900903,848123
50,6,9,156038.3824321516,646475
51,6,5,152934.4744277945,1033259
52,6,4,133246.6811953303,945611
53,6,8,139477.19162426857,1033259
54,6,2,134781.40502039815,1041371
55,6,1,137720.77101550586,1033259
56,6,6,151661.0029200532,1033259
57,6,7,135465.35433527583,1033259
58,6,3,140655.1081962608,1033259
59,6,10,154676.734122768,646475
60,7,9,101399.53138383958,541595
61,7,5,92741.97321381925,760811
62,7,4,100059.9810566933,541595
63,7,8,93999.62949326036,541595
64,7,2,139100.10381615406,998603
65,7,1,81786.07611575567,541595
66,7,6,102411.41893967903,541595
67,7,7,88781.26466300557,541595
68,7,3,89504.56172335365,541595
69,7,10,85656.993512171,760811
70,8,9,70699.38244783199,760787
71,8,5,83600.83887614004,760787
72,8,4,113646.42587558359,682139
73,8,8,113335.68464132283,665699
74,8,2,107858.21762793629,682115
75,8,1,105726.68034397777,682139
76,8,6,95583.88469771846,752123
77,8,7,93346.53342451648,760787
78,8,3,77952.03240204306,752123
79,8,10,85777.37461825219,760787
80,9,9,115935.79604829836,752123
81,9,5,119976.7179400014,839531
82,9,4,104268.35642189955,1014683
83,9,8,99747.31718838628,839531
84,9,2,98966.19318109564,752123
85,9,1,119717.90313343942,997235
86,9,6,100099.9294712755,1014683
87,9,7,108158.17633331138,604187
88,9,3,82411.55067636713,892211
89,9,10,148607.1439030113,839531
90,10,9,111985.9645737385,927035
91,10,5,114042.01541428339,760763
92,10,4,168456.00792542042,919619
93,10,8,158878.97290266913,1007459
94,10,2,135550.7383980995,753347
95,10,1,158245.70205275834,1007459
96,10,6,128868.56502264293,1058675
97,10,7,166797.13565617852,595211
98,10,3,150535.4218940533,1007435
99,10,10,119633.01105979636,1007435
100,11,9,176589.21632861588,559355
101,11,5,137675.87498175405,568859
102,11,4,117968.6166788737,1015907
103,11,8,155950.82586985684,568859
104,11,2,89229.98672671938,866939
105,11,1,150145.57880485486,647387
106,11,6,117373.05917053402,568859
107,11,7,163890.07086495607,979619
108,11,3,173940.07193533186,682115
109,11,10,163642.5603470665,761099
110,12,9,153364.17682536022,910979
111,12,5,117720.28295921761,690851
112,12,4,138908.7822183814,568859
113,12,8,179101.8362323956,979667
114,12,2,141794.23446423834,1015523
115,12,1,160673.21027266173,823355
116,12,6,94306.56211105786,568859
117,12,7,166960.23744977606,682187
118,12,3,164385.31568531034,892715
119,12,10,147628.61061629935,648563
120,13,9,64299.35259170129,550259
121,13,5,215935.90977561453,734843
122,13,4,131467.22538277402,1016123
123,13,8,124175.24842639813,690851
124,13,2,110495.31230042473,937163
125,13,1,162221.22414576256,831851
126,13,6,101735.2889574736,875027
127,13,7,126201.73930641457,1015547
128,13,3,89251.21067017964,664595
129,13,10,154501.10998710978,568859
130,14,9,168615.67913658684,822443
131,14,5,197458.0845501612,647987
132,14,4,137188.25598462086,743099
133,14,8,70768.21637562118,1032251
134,14,2,166386.4612750951,946571
135,14,1,144099.33760477163,551651
136,14,6,105305.85005074063,621731
137,14,7,85903.91785559634,621731
138,14,3,169202.62595702478,691211
139,14,10,127944.10414174666,892523
140,15,9,143776.25400853142,770651
141,15,5,135436.63134037223,998699
142,15,4,150721.58898288876,727451
143,15,8,148373.13815569555,655811
144,15,2,155171.73511967555,587291
145,15,1,176079.04277970607,717419
146,15,6,140674.04292561993,1032251
147,15,7,161230.23444188392,1033523
148,15,3,199610.9577259779,622091
149,15,10,96493.64791556151,918323
150,16,9,47458.90180751256,796379
151,16,5,205941.03822944727,1032875
152,16,4,108358.63502702484,734363
153,16,8,156710.62635635474,936371
154,16,2,187157.69805038066,787643
155,16,1,152372.43808021073,735323
156,16,6,126376.61750771031,953651
157,16,7,137385.44001483862,656699
158,16,3,173771.6815060319,1051187
159,16,10,178318.943610387,620315
160,17,9,128202.08940690549,576539
161,17,5,131962.46853312964,874595
162,17,4,148538.97087519677,963371
163,17,8,170258.37225784938,717275
164,17,2,214484.73733097102,744155
165,17,1,228783.27869743155,831323
166,17,6,202298.01491575784,866483
167,17,7,183262.9281776603,893291
168,17,3,155636.0526724787,550523
169,17,10,100652.72223662882,594731
170,18,9,119192.63662547493,559403
171,18,5,109933.24154049504,639395
172,18,4,257482.16602061258,937283
173,18,8,167235.71709598674,577067
174,18,2,125231.43351129333,1059059
175,18,1,123449.74133379721,744659
176,18,6,108926.93497427122,885035
177,18,7,161796.86019522496,963683
178,18,3,111584.5969860115,832019
179,18,10,100214.43552410792,831131
180,19,9,153408.4024519699,621875
181,19,5,144547.52222888908,787259
182,19,4,118896.44287389253,963395
183,19,8,130350.02882240829,795611
184,19,2,132884.9296563186,891923
185,19,1,109214.33836048088,1032179
186,19,6,117182.148186183,972923
187,19,7,139428.88751809168,963659
188,19,3,125697.5830329119,1059467
189,19,10,147962.7036869827,743459
190,20,9,136024.4819624428,577259
191,20,5,178690.4184607809,743291
192,20,4,137874.96376573134,621203
193,20,8,266718.70850418514,988475
194,20,2,130608.77794319346,568643
195,20,1,123752.9899451308,682307
196,20,6,197891.64829350583,1042667
197,20,7,164494.83285852574,762227
198,20,3,147632.47782636908,681995
199,20,10,114159.42244588144,726995
200,21,9,147825.0986221197,682043
201,21,5,107207.98817808946,761507
202,21,4,96699.57033437003,857051
203,21,8,279528.3689521552,603179
204,21,2,121081.49655413305,787235
205,21,1,107686.32292508098,567731
206,21,6,173255.2375918685,699587
207,21,7,167674.09847740788,533531
208,21,3,201795.27310399545,1015331
209,21,10,201471.91432601688,533315
210,22,9,196280.58365967945,717179
211,22,5,172121.2244043098,1059515
212,22,4,89271.4364975487,857051
213,22,8,153575.91961052752,892355
214,22,2,110430.30617735346,953579
215,22,1,186537.44621740628,770243
216,22,6,139139.79620018657,815195
217,22,7,199391.0639195787,1006019
218,22,3,152869.85877745828,832043
219,22,10,160138.34655619986,848747
220,23,9,161152.7701896116,1024379
221,23,5,116127.30888771269,682283
222,23,4,169590.9720104112,857051
223,23,8,114088.32703514032,900899
224,23,2,168403.09172209707,691427
225,23,1,276825.1566743576,534563
226,23,6,102328.51249491195,918227
227,23,7,358960.06565543864,1006979
228,23,3,201893.33955574373,832043
229,23,10,107946.28515511972,954299
230,24,9,189753.98818551702,725411
231,24,5,155308.7615332225,990515
232,24,4,214827.94108020887,700859
233,24,8,260291.14636321968,691835
234,24,2,184489.400359318,710027
235,24,1,155903.71867477355,534611
236,24,6,204310.753593539,787523
237,24,7,362849.45193463506,1023899
238,24,3,189414.27514478,832067
239,24,10,163809.30664760404,637907
240,25,9,96147.21788648352,797363
241,25,5,124007.54881619426,700619
242,25,4,199901.81983367362,813515
243,25,8,184063.26161584063,900923
244,25,2,182593.1818590024,612083
245,25,1,246314.55513087503,551819
246,25,6,175233.9665348293,761699
247,25,7,256696.66235044773,603587
248,25,3,281412.1754774916,1016267
249,25,10,146190.38923688975,927803
250,26,9,209613.1595657232,980243
251,26,5,248680.2624196855,700619
